Timestamp,Coin,PriceUSD
2025-05-14 00:04:55.247,Bitcoin,104184.49039270742
2025-05-14 01:04:38.428,Bitcoin,103917.7359966492
2025-05-14 02:04:47.816,Bitcoin,103858.60396107004
2025-05-14 03:04:23.157,Bitcoin,103700.05269875677
2025-05-14 04:07:25.977,Bitcoin,103556.45885636128
2025-05-14 05:04:14.941,Bitcoin,103700.90096775675
2025-05-14 06:04:46.847,Bitcoin,103878.53354621866
2025-05-14 07:07:14.462,Bitcoin,103717.46530373387
2025-05-14 08:02:25.693,Bitcoin,103663.5497768388
2025-05-14 09:04:40.480,Bitcoin,103468.82472880279
2025-05-14 10:03:59.301,Bitcoin,103293.13171967196
2025-05-14 11:04:56.362,Bitcoin,103746.51631775557
2025-05-14 12:09:09.247,Bitcoin,103975.28155532911
2025-05-14 13:06:10.803,Bitcoin,104129.23681507706
2025-05-14 14:04:29.437,Bitcoin,103949.55688600815
2025-05-14 15:18:26.230,Bitcoin,103240.50497954589
2025-05-14 16:04:49.308,Bitcoin,103411.5875926134
2025-05-14 17:06:29.909,Bitcoin,103410.52259318183
2025-05-14 18:11:37.277,Bitcoin,103236.43383121496
2025-05-14 19:04:41.943,Bitcoin,103360.77315539285
2025-05-14 20:09:55.331,Bitcoin,103462.91792934247
2025-05-14 21:04:55.158,Bitcoin,103541.32991390128
2025-05-14 22:05:59.187,Bitcoin,103616.5641306095
2025-05-14 23:04:39.457,Bitcoin,103500.55803017515
2025-05-15 00:01:30.831,Bitcoin,103546.46918182234
2025-05-15 01:07:45.691,Bitcoin,103798.18025222377
2025-05-15 02:07:41.935,Bitcoin,103147.88093550252
2025-05-15 03:06:32.292,Bitcoin,103089.72958890599
2025-05-15 04:09:06.605,Bitcoin,102815.83535741437
2025-05-15 05:04:42.645,Bitcoin,102905.98275243046
2025-05-15 06:09:54.305,Bitcoin,102431.01681734665
2025-05-15 07:09:03.317,Bitcoin,102306.61847027586
2025-05-15 08:04:47.926,Bitcoin,101842.9630220415
2025-05-15 09:09:55.460,Bitcoin,102228.46374839121
2025-05-15 10:09:46.624,Bitcoin,101775.76120644069
2025-05-15 11:09:47.897,Bitcoin,101829.9751948105
2025-05-15 12:09:29.901,Bitcoin,102312.39420890273
2025-05-15 13:04:54.118,Bitcoin,102608.73433980295
2025-05-15 14:06:34.803,Bitcoin,102271.11362732355
2025-05-15 15:04:50.299,Bitcoin,101853.27241327312
2025-05-15 16:04:55.461,Bitcoin,103086.80093931165
2025-05-15 17:07:31.765,Bitcoin,103777.5914622185
2025-05-15 18:09:34.005,Bitcoin,103977.5367463436
2025-05-15 19:03:02.209,Bitcoin,103060.49374205088
2025-05-15 20:04:59.415,Bitcoin,103087.36701019295
2025-05-15 21:04:57.432,Bitcoin,103429.09594246546
2025-05-15 22:04:52.893,Bitcoin,103169.59627070383
2025-05-15 23:08:50.326,Bitcoin,103553.93506366151
2025-05-16 00:09:52.942,Bitcoin,103782.3671140446
2025-05-16 01:09:59.990,Bitcoin,103812.14447323454
2025-05-16 02:09:46.666,Bitcoin,104095.83301023155
